timestamp,actual_filt_ntu,predicted_filt_ntu,residual_ntu
2026-03-01 01:00:00,0.05,0.054878653079811456,-0.004878653079811453
2026-03-01 03:00:00,0.05,0.05450520239128615,-0.004505202391286149
2026-03-01 05:00:00,0.05,0.05423133628884539,-0.004231336288845387
2026-03-01 07:00:00,0.07,0.05441509714197885,0.015584902858021159
2026-03-01 09:00:00,0.12,0.0742168514061968,0.0457831485938032
2026-03-01 11:00:00,0.1,0.12150750446039948,-0.02150750446039948
2026-03-01 13:00:00,0.1,0.09522128124913085,0.00477871875086916
2026-03-01 15:00:00,0.1,0.09696866285771728,0.0030313371422827223
2026-03-01 17:00:00,0.09,0.10477033546636619,-0.014770335466366191
2026-03-01 19:00:00,0.07,0.09092299533451632,-0.020922995334516317
2026-03-01 21:00:00,0.07,0.07244043223173725,-0.0024404322317372468
2026-03-01 23:00:00,0.1,0.08030883142071517,0.019691168579284837
2026-03-02 01:00:00,0.1,0.10928018599495345,-0.00928018599495345
2026-03-02 03:00:00,0.1,0.10000922949713052,-9.229497130516795e-06
2026-03-02 05:00:00,0.1,0.09814826658980629,0.0018517334101937205
2026-03-02 07:00:00,0.12,0.10122753062774267,0.018772469372257322
2026-03-02 09:00:00,0.11,0.12190197304009096,-0.011901973040090955
2026-03-02 11:00:00,0.06,0.10974585861319826,-0.04974585861319826
2026-03-02 13:00:00,0.06,0.06173810211815559,-0.0017381021181555947
2026-03-02 15:00:00,0.04,0.06734432018255017,-0.027344320182550168
2026-03-02 17:00:00,0.04,0.04904745549457662,-0.009047455494576619
2026-03-02 19:00:00,0.08,0.044475373744805924,0.03552462625519408
2026-03-02 21:00:00,0.08,0.08679136888161242,-0.006791368881612414
2026-03-02 23:00:00,0.08,0.07981668233585833,0.0001833176641416745
2026-03-03 01:00:00,0.08,0.07809138199482372,0.0019086180051762769
2026-03-03 03:00:00,0.12,0.08236085235353145,0.03763914764646854
2026-03-03 05:00:00,0.12,0.12568277249993096,-0.00568277249993096
2026-03-03 07:00:00,0.12,0.11869339399935104,0.001306606000648955
2026-03-03 09:00:00,0.12,0.11562211217882966,0.004377887821170337
2026-03-03 11:00:00,0.12,0.12062077688543031,-0.0006207768854303158
2026-03-03 13:00:00,0.12,0.11991688919960015,8.311080039984098e-05
2026-03-03 15:00:00,0.11,0.12055732189945587,-0.010557321899455865
2026-03-03 17:00:00,0.12,0.1102275017375123,0.009772498262487689
2026-03-03 19:00:00,0.11,0.12339422967480941,-0.01339422967480941
2026-03-03 21:00:00,0.12,0.116082480328002,0.003917519671997993
2026-03-03 23:00:00,0.16,0.12461541537325065,0.03538458462674936
2026-03-04 01:00:00,0.16,0.16579698007130786,-0.005796980071307856
2026-03-04 03:00:00,0.22,0.1578235249064321,0.06217647509356791
2026-03-04 05:00:00,0.22,0.21405676587051853,0.005943234129481473
2026-03-04 07:00:00,0.06,0.21319735944967957,-0.15319735944967958
2026-03-04 09:00:00,0.06,0.052908967011408875,0.007091032988591123
2026-03-04 11:00:00,0.05,0.07284575262413015,-0.022845752624130147
2026-03-04 13:00:00,0.04,0.0716505409101707,-0.0316505409101707
2026-03-04 15:00:00,0.06,0.04361865554370934,0.016381344456290657
2026-03-04 17:00:00,0.04,0.06680812754508743,-0.026808127545087428
2026-03-04 19:00:00,0.05,0.04939144069309018,0.0006085593069098255
2026-03-04 21:00:00,0.05,0.059190642359861954,-0.009190642359861952
2026-03-04 23:00:00,0.07,0.07273140176278445,-0.002731401762784441
2026-03-05 01:00:00,0.07,0.08933529310417135,-0.01933529310417134
