tau_hours,mean_validation_rmse_ntu
2,0.5501553913097267
4,0.5382976230375885
6,0.5345704914190457
8,0.5343018596767768
10,0.5363587952963123
12,0.5375149619481127
14,0.5414374079762986
16,0.5445632556078535
18,0.5478177333092309
20,0.5507254729817597
22,0.552628702430711
24,0.5544629324252969
