feature,source_variable,lag_hours,input_transform,standardized_coefficient,coefficient_per_transformed_unit,imputation_median,winsor_lower,winsor_upper,standardization_mean,standardization_scale,function_definition
alum_lag3,alum,6,identity,0.0002079678053,0.04496363877,0.05,0.05,0.06,0.05310075885,0.004625244109,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
alum_lag6,alum,12,identity,0.004081853415,0.8830130268,0.05,0.05,0.06,0.05309443508,0.004622642353,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
tw_flow,tw_flow,0,identity,-0.001707538577,-0.0006914427906,45.1,37.564,52.3,45.31155059,2.469529802,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
tw_flow_lag1,tw_flow,2,identity,0.002734041029,0.001107936946,45.1,37.5635,52.3,45.31317116,2.467686487,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
tw_flow_lag2,tw_flow,4,identity,-0.000240605785,-9.741203375e-05,45.1,37.5,52.3,45.31192243,2.469980101,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
tw_flow_lag3,tw_flow,6,identity,0.004562528915,0.001844934017,45.1,37.4625,52.3,45.30998314,2.473003843,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
tw_flow_lag6,tw_flow,12,identity,0.0004674470195,0.0001885202142,45.1,37.4,52.3,45.30163575,2.479559137,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
hour_sin,hour_sin,0,cyclic,-0.004139530278,-0.005853647772,-0.2588190451,-0.9659258263,0.9659258263,-0.0006108299913,0.7071710562,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
hour_cos,hour_cos,0,cyclic,-0.001331096276,-0.001882628818,-0.2588190451,-0.9659258263,0.9659258263,-0.001167102848,0.7070412732,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
year_sin,year_sin,0,cyclic,-0.05375637361,-0.07854823212,0.09661270188,-0.9998435115,0.9997978322,0.02174123863,0.6843740739,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
year_cos,year_cos,0,cyclic,-0.03143608059,-0.04335851932,0.1382503109,-0.999783523,0.999852042,0.07410003393,0.7250266171,"z_j=(clip(g_j(x_j),lower,upper)-mean)/scale"
